make,model,procSpeed,salePrice
Lenovo,Legion,3.3,1084.0
Lenovo,Legion,3.5,829.0
Alienware,Area-51,3.4,599.0
Razer,Blade,3.5,1198.0
Alienware,Area-51,3.4,1251.0
Razer,Blade,3.7,1544.0
Razer,Blade,3.1,1049.0
Razer,Blade,3.4,1236.0
MSI,Raider,3.8,845.0
MSI,Raider,3.0,1606.0
Razer,Blade,3.2,1928.0
Lenovo,Legion,3.5,852.0
Razer,Blade,3.1,1459.0
MSI,Raider,3.2,1931.0
HP,Omen,3.1,1458.0
Razer,Blade,3.8,537.0
Razer,Blade,3.1,798.0
Razer,Blade,3.6,1379.0
Razer,Blade,3.2,1404.0
Razer,Blade,3.4,1005.0
Razer,Blade,3.8,1403.0
Razer,Blade,3.0,702.0
Asus,ROG,3.1,1945.0
Razer,Blade,3.6,1544.0
Alienware,Area-51,3.1,656.0
Razer,Blade,3.4,606.0
Razer,Blade,3.7,1906.0
Lenovo,Legion,3.5,1695.0
Razer,Blade,3.0,813.0
Razer,Blade,3.3,1757.0
Lenovo,Legion,3.7,1719.0
Razer,Blade,3.3,575.0
Razer,Blade,3.2,1839.0
Razer,Blade,3.7,1786.0
Razer,Blade,3.5,628.0
MSI,Raider,3.1,1390.0
Razer,Blade,3.4,930.0
Razer,Blade,3.1,1874.0
Razer,Blade,3.4,1297.0
Razer,Blade,3.8,1140.0
HP,Omen,3.7,584.0
Razer,Blade,3.8,1165.0
Acer,Predator,3.2,831.0
Lenovo,Legion,3.6,1653.0
Acer,Predator,3.6,823.0
Razer,Blade,3.8,1830.0
Alienware,Area-51,3.1,725.0
Razer,Blade,3.6,1249.0
Razer,Blade,3.2,1430.0
Razer,Blade,3.7,1183.0
Razer,Blade,3.4,1329.0
Asus,ROG,3.7,1515.0
Asus,ROG,3.4,1144.0
Lenovo,Legion,3.8,551.0
Razer,Blade,3.3,1045.0
Razer,Blade,3.0,1113.0
Acer,Predator,3.6,1437.0
Razer,Blade,3.0,1343.0
Alienware,Area-51,3.3,613.0
Razer,Blade,3.2,856.0
Razer,Blade,3.7,1000.0
HP,Omen,3.2,1806.0
Razer,Blade,3.7,1577.0
MSI,Raider,3.8,1054.0
Razer,Blade,3.0,1267.0
Razer,Blade,3.3,1645.0
Razer,Blade,3.3,592.0
Asus,ROG,3.3,1812.0
Razer,Blade,3.4,1139.0
Razer,Blade,3.0,1110.0
Razer,Blade,3.7,1535.0
Razer,Blade,3.0,1844.0
Razer,Blade,3.4,1169.0
Alienware,Area-51,3.4,582.0
Acer,Predator,3.4,1729.0
Alienware,Area-51,3.5,1807.0
Razer,Blade,3.1,1994.0
Razer,Blade,3.4,1526.0
Razer,Blade,3.7,1102.0
Razer,Blade,3.5,1692.0
Razer,Blade,3.1,1804.0
Razer,Blade,3.5,732.0
Asus,ROG,3.4,1554.0
Razer,Blade,3.5,749.0
Razer,Blade,3.4,1301.0
Razer,Blade,3.1,835.0
Acer,Predator,3.2,1351.0
Lenovo,Legion,3.1,1302.0
Alienware,Area-51,3.8,839.0
Razer,Blade,3.1,1024.0
Razer,Blade,3.7,1662.0
Razer,Blade,3.4,726.0
Alienware,Area-51,3.3,1455.0
Alienware,Area-51,3.7,531.0
Razer,Blade,3.4,1110.0
Acer,Predator,3.5,1396.0
Asus,ROG,3.3,1917.0
Acer,Predator,3.8,846.0
Asus,ROG,3.6,897.0
Razer,Blade,3.2,1953.0
Razer,Blade,3.6,1371.0
Razer,Blade,3.6,1147.0
HP,Omen,3.1,1154.0
MSI,Raider,3.3,672.0
Razer,Blade,3.6,1343.0
Razer,Blade,3.1,1072.0
Razer,Blade,3.0,1190.0
Asus,ROG,3.2,849.0
MSI,Raider,3.0,1474.0
Alienware,Area-51,3.3,1197.0
Razer,Blade,3.5,1633.0
Asus,ROG,3.3,946.0
Razer,Blade,3.1,1815.0
Razer,Blade,3.4,1186.0
Acer,Predator,3.5,743.0
Razer,Blade,3.5,998.0
Alienware,Area-51,3.1,1301.0
Asus,ROG,3.3,1017.0
Alienware,Area-51,3.1,1046.0
Razer,Blade,3.7,1345.0
Razer,Blade,3.7,962.0
Razer,Blade,3.3,901.0
Razer,Blade,3.5,1102.0
Razer,Blade,3.3,612.0
Razer,Blade,3.0,653.0
Razer,Blade,3.7,1561.0
Alienware,Area-51,3.3,1802.0
Lenovo,Legion,3.3,1766.0
Asus,ROG,3.7,1428.0
Acer,Predator,3.6,1298.0
Razer,Blade,3.3,502.0
MSI,Raider,3.7,702.0
Razer,Blade,3.6,763.0
Acer,Predator,3.6,725.0
Razer,Blade,3.1,1451.0
Razer,Blade,3.4,1072.0
Asus,ROG,3.8,1158.0
Razer,Blade,3.6,692.0
Razer,Blade,3.6,989.0
Razer,Blade,3.7,1889.0
Razer,Blade,3.3,804.0
Acer,Predator,3.5,1671.0
HP,Omen,3.3,1229.0
Razer,Blade,3.3,619.0
Razer,Blade,3.8,1394.0
MSI,Raider,3.2,1303.0
Razer,Blade,3.8,1662.0
Razer,Blade,3.0,862.0
Razer,Blade,3.3,748.0
Lenovo,Legion,3.2,918.0
Acer,Predator,3.6,1668.0
MSI,Raider,3.2,1677.0
Razer,Blade,3.7,1414.0
Razer,Blade,3.8,944.0
Razer,Blade,3.2,521.0
Razer,Blade,3.8,1105.0
Razer,Blade,3.2,1373.0
Razer,Blade,3.3,807.0
Razer,Blade,3.4,1512.0
HP,Omen,3.4,1698.0
Razer,Blade,3.0,879.0
Asus,ROG,3.8,1749.0
Asus,ROG,3.7,1435.0
Razer,Blade,3.5,785.0
Acer,Predator,3.6,1561.0
Alienware,Area-51,3.2,1555.0
Razer,Blade,3.7,516.0
Razer,Blade,3.7,591.0
Razer,Blade,3.5,575.0
Razer,Blade,3.7,536.0
Razer,Blade,3.2,1956.0
Acer,Predator,3.6,1571.0
Razer,Blade,3.7,1263.0
Asus,ROG,3.7,1968.0
HP,Omen,3.6,1600.0
Alienware,Area-51,3.1,1784.0
Lenovo,Legion,3.8,1959.0
Razer,Blade,3.3,1877.0
Acer,Predator,3.7,1371.0
Razer,Blade,3.5,1537.0
Razer,Blade,3.4,1179.0
Razer,Blade,3.8,1553.0
Razer,Blade,3.5,858.0
Alienware,Area-51,3.2,1472.0
Razer,Blade,3.8,721.0
Razer,Blade,3.5,1925.0
Razer,Blade,3.7,1680.0
Asus,ROG,3.7,1159.0
Razer,Blade,3.3,1388.0
Razer,Blade,3.1,905.0
Razer,Blade,3.2,1863.0
Razer,Blade,3.4,1381.0
HP,Omen,3.3,1335.0
Alienware,Area-51,3.4,1160.0
Asus,ROG,3.8,709.0
Razer,Blade,3.6,1148.0
HP,Omen,3.5,987.0
HP,Omen,3.8,626.0
Lenovo,Legion,3.8,1636.0
Asus,ROG,3.8,1120.0
Acer,Predator,3.5,1538.0
Razer,Blade,3.5,1165.0
Razer,Blade,3.7,607.0
HP,Omen,3.6,1591.0
Razer,Blade,3.1,574.0
MSI,Raider,3.0,1406.0
Razer,Blade,3.4,1632.0
Razer,Blade,3.7,1862.0
Alienware,Area-51,3.4,1675.0
Razer,Blade,3.7,1543.0
Razer,Blade,3.1,1255.0
Razer,Blade,3.5,1003.0
Lenovo,Legion,3.2,1754.0
Asus,ROG,3.2,1488.0
Razer,Blade,3.2,1016.0
Razer,Blade,3.0,614.0
HP,Omen,3.1,1933.0
Asus,ROG,3.1,731.0
Razer,Blade,3.4,677.0
Acer,Predator,3.7,1608.0
Razer,Blade,3.1,905.0
Alienware,Area-51,3.7,1628.0
Razer,Blade,3.2,1568.0
Lenovo,Legion,3.1,1282.0
Razer,Blade,3.7,1137.0
Razer,Blade,3.0,891.0
Asus,ROG,3.0,1811.0
Alienware,Area-51,3.4,1584.0
Razer,Blade,3.7,725.0
HP,Omen,3.0,1408.0
Razer,Blade,3.7,887.0
MSI,Raider,3.5,1585.0
Razer,Blade,3.6,1356.0
Razer,Blade,3.6,759.0
Razer,Blade,3.5,890.0
Razer,Blade,3.8,508.0
Razer,Blade,3.5,960.0
Razer,Blade,3.7,1415.0
Lenovo,Legion,3.0,946.0
Razer,Blade,3.7,824.0
Razer,Blade,3.7,1255.0
Acer,Predator,3.3,1137.0
Razer,Blade,3.6,916.0
Razer,Blade,3.4,710.0
Razer,Blade,3.3,1555.0
HP,Omen,3.6,1292.0
Asus,ROG,3.4,1750.0
Razer,Blade,3.7,1402.0
Lenovo,Legion,3.7,1006.0
Alienware,Area-51,3.7,597.0
MSI,Raider,3.1,1219.0
Razer,Blade,3.0,1481.0
Razer,Blade,3.3,1242.0
Acer,Predator,3.2,1738.0
Razer,Blade,3.7,1256.0
HP,Omen,3.3,625.0
Razer,Blade,3.5,1433.0
Acer,Predator,3.6,895.0
Razer,Blade,3.1,530.0
Razer,Blade,3.2,1961.0
Lenovo,Legion,3.3,1397.0
Razer,Blade,3.3,1508.0
Razer,Blade,3.8,551.0
Alienware,Area-51,3.8,782.0
Asus,ROG,3.2,1607.0
Razer,Blade,3.4,911.0
Asus,ROG,3.1,1430.0
Razer,Blade,3.8,669.0
MSI,Raider,3.2,1060.0
Acer,Predator,3.0,1992.0
Asus,ROG,3.2,642.0
HP,Omen,3.5,841.0
Razer,Blade,3.4,1633.0
Lenovo,Legion,3.1,664.0
Acer,Predator,3.3,847.0
Razer,Blade,3.5,801.0
Alienware,Area-51,3.6,790.0
Alienware,Area-51,3.4,1446.0
Razer,Blade,3.7,1128.0
Alienware,Area-51,3.7,728.0
Razer,Blade,3.4,747.0
Razer,Blade,3.7,1081.0
Razer,Blade,3.0,516.0
Razer,Blade,3.1,694.0
Razer,Blade,3.4,1036.0
MSI,Raider,3.2,1995.0
Asus,ROG,3.2,1339.0
MSI,Raider,3.2,1198.0
Razer,Blade,3.4,1644.0
MSI,Raider,3.8,1572.0
Razer,Blade,3.0,1753.0
Lenovo,Legion,3.6,1072.0
Razer,Blade,3.8,806.0
Razer,Blade,3.7,1092.0
Razer,Blade,3.4,1906.0
Razer,Blade,3.5,1853.0
HP,Omen,3.2,1177.0
Razer,Blade,3.4,503.0
Razer,Blade,3.5,1757.0
Razer,Blade,3.1,816.0
Lenovo,Legion,3.3,1470.0
Razer,Blade,3.5,1770.0
Lenovo,Legion,3.4,1581.0
Razer,Blade,3.1,855.0
Razer,Blade,3.0,1511.0
Razer,Blade,3.0,1452.0
Razer,Blade,3.4,773.0
MSI,Raider,3.8,553.0
Razer,Blade,3.1,1281.0
Razer,Blade,3.1,859.0
Razer,Blade,3.1,1017.0
HP,Omen,3.3,1810.0
Razer,Blade,3.6,1168.0
Asus,ROG,3.8,1205.0
Razer,Blade,3.3,1529.0
HP,Omen,3.0,1228.0
Lenovo,Legion,3.4,1452.0
Asus,ROG,3.5,580.0
Razer,Blade,3.6,1081.0
Razer,Blade,3.5,1164.0
Alienware,Area-51,3.1,1267.0
MSI,Raider,3.8,1215.0
Asus,ROG,3.2,1484.0
Alienware,Area-51,3.5,1191.0
Asus,ROG,3.4,1599.0
Razer,Blade,3.8,1291.0
Razer,Blade,3.3,1745.0
Razer,Blade,3.3,678.0
Asus,ROG,3.4,533.0
Acer,Predator,3.7,1820.0
Lenovo,Legion,3.7,1900.0
Lenovo,Legion,3.4,754.0
Alienware,Area-51,3.3,720.0
Razer,Blade,3.7,1224.0
Razer,Blade,3.3,625.0
Razer,Blade,3.3,1478.0
Razer,Blade,3.5,1286.0
Razer,Blade,3.0,673.0
Razer,Blade,3.7,1883.0
Razer,Blade,3.7,1025.0
Razer,Blade,3.5,666.0
Alienware,Area-51,3.3,1168.0
Alienware,Area-51,3.5,1408.0
Razer,Blade,3.8,1928.0
Alienware,Area-51,3.1,838.0
Acer,Predator,3.3,1604.0
Razer,Blade,3.3,1512.0
HP,Omen,3.8,874.0
Razer,Blade,3.3,1013.0
Razer,Blade,3.3,1308.0
MSI,Raider,3.2,1985.0
Razer,Blade,3.1,849.0
Razer,Blade,3.7,1980.0
MSI,Raider,3.0,1523.0
Alienware,Area-51,3.4,1821.0
HP,Omen,3.2,1855.0
Razer,Blade,3.6,760.0
Razer,Blade,3.0,874.0
HP,Omen,3.1,600.0
Asus,ROG,3.5,1506.0
Razer,Blade,3.8,1976.0
MSI,Raider,3.3,1417.0
Razer,Blade,3.7,1060.0
Razer,Blade,3.8,1994.0
Razer,Blade,3.7,724.0
Razer,Blade,3.2,875.0
Acer,Predator,3.4,1793.0
Razer,Blade,3.3,980.0
Lenovo,Legion,3.4,1560.0
Razer,Blade,3.4,540.0
Razer,Blade,3.0,1272.0
Razer,Blade,3.3,994.0
Lenovo,Legion,3.6,1989.0
Razer,Blade,3.3,1393.0
Alienware,Area-51,3.7,1081.0
Lenovo,Legion,3.6,1729.0
Alienware,Area-51,3.0,541.0
Razer,Blade,3.4,898.0
Lenovo,Legion,3.2,749.0
Acer,Predator,3.1,1113.0
Razer,Blade,3.2,1297.0
Razer,Blade,3.8,1016.0
MSI,Raider,3.2,1646.0
Razer,Blade,3.1,1551.0
Razer,Blade,3.4,1583.0
Alienware,Area-51,3.6,1864.0
Lenovo,Legion,3.3,1360.0
Razer,Blade,3.0,695.0
Razer,Blade,3.3,853.0
Acer,Predator,3.0,1311.0
Lenovo,Legion,3.8,967.0
Lenovo,Legion,3.3,649.0
Razer,Blade,3.6,1513.0
Acer,Predator,3.2,1348.0
Asus,ROG,3.4,1959.0
Lenovo,Legion,3.7,1526.0
MSI,Raider,3.8,1228.0
Lenovo,Legion,3.8,1554.0
Acer,Predator,3.6,1526.0
Alienware,Area-51,3.7,1449.0
HP,Omen,3.4,1792.0
MSI,Raider,3.2,638.0
Razer,Blade,3.2,1491.0
Acer,Predator,3.5,1815.0
Acer,Predator,3.1,1099.0
Asus,ROG,3.8,1880.0
Razer,Blade,3.0,778.0
Razer,Blade,3.8,1358.0
HP,Omen,3.3,1388.0
Acer,Predator,3.2,1365.0
Razer,Blade,3.8,1916.0
Razer,Blade,3.5,1216.0
MSI,Raider,3.4,1717.0
Razer,Blade,3.1,1854.0
Razer,Blade,3.7,589.0
Razer,Blade,3.4,1575.0
Acer,Predator,3.0,801.0
Razer,Blade,3.2,1226.0
Lenovo,Legion,3.4,1647.0
Razer,Blade,3.7,1722.0
