registration,make,model,procSpeed
T4cs1CC,Razer,Blade,3.1
rXVFFJc,Razer,Blade,3.5
oiapMOI,Asus,ROG,3.4
y4g65hX,Razer,Blade,3.7
gXCueKd,Asus,ROG,3.4
wzDpxLU,Razer,Blade,3.1
eAzfepi,Razer,Blade,3.5
OmPflWu,Razer,Blade,3.5
C1UMIuM,Razer,Blade,3.3
nAvmezC,Razer,Blade,3.5
jH8ypTP,Acer,Predator,3.8
wu8S4Kv,Razer,Blade,3.1
DzqoPU7,HP,Omen,3.5
Smw83tT,Razer,Blade,3.3
54BA83a,HP,Omen,3.4
b92Jj5l,Alienware,Area-51,3.4
bryREII,Razer,Blade,3.2
kymXnSK,Razer,Blade,3.8
FukdiJ7,Razer,Blade,3.1
yq9QcOZ,Razer,Blade,3.0
3hi8jxy,Razer,Blade,3.7
2T89ewk,Razer,Blade,3.6
g0mYccl,Alienware,Area-51,3.3
ZrwXEkU,Razer,Blade,3.1
YsSlDBX,Razer,Blade,3.3
vngYDtP,Razer,Blade,3.0
j56MRQl,HP,Omen,3.1
N1POKpk,HP,Omen,3.3
GWPQRSc,Razer,Blade,3.2
kWwlzMk,Razer,Blade,3.5
99yeYwL,Acer,Predator,3.8
J4EBhQH,Asus,ROG,3.3
DH4C2tE,Razer,Blade,3.2
RYlf5tm,Razer,Blade,3.0
STKvG3A,Razer,Blade,3.7
5Ajbw2r,Razer,Blade,3.1
mdt9wML,Razer,Blade,3.4
tCmeooA,Lenovo,Legion,3.5
1BWXxZI,Asus,ROG,3.2
ytUYCBP,Acer,Predator,3.6
yf2gKRn,Alienware,Area-51,3.5
x0yIEry,Razer,Blade,3.7
U0NJMu1,Lenovo,Legion,3.3
9SGTJIj,Razer,Blade,3.7
2d3EyoT,Acer,Predator,3.1
fgM2C2C,Alienware,Area-51,3.8
mMbld6q,Lenovo,Legion,3.2
6KCZ0ea,Razer,Blade,3.1
k3pOQY1,Razer,Blade,3.7
4n4Op55,Razer,Blade,3.7
uoCUm0p,Lenovo,Legion,3.0
EmJPLsZ,Razer,Blade,3.0
KdqL04L,Alienware,Area-51,3.5
6ytDCc9,Razer,Blade,3.3
oM3fzsO,Razer,Blade,3.2
uPAUK9c,Razer,Blade,3.7
cBCS92f,Razer,Blade,3.3
K1dQRwn,HP,Omen,3.6
OMrk0IL,MSI,Raider,3.6
ITAHLej,HP,Omen,3.0
R6Gz6Xi,HP,Omen,3.2
UHAOkut,HP,Omen,3.0
j25rQQG,Lenovo,Legion,3.5
meHhm9D,Acer,Predator,3.5
LEvidDt,Razer,Blade,3.3
XgmA5Lu,HP,Omen,3.5
6XKErhP,Razer,Blade,3.0
B3SEEFF,Lenovo,Legion,3.6
z6GBkRj,Lenovo,Legion,3.4
2Kt4kNW,Acer,Predator,3.5
69BOyNy,HP,Omen,3.6
2T5N86e,Razer,Blade,3.7
7mdYVS2,Razer,Blade,3.0
vSA6bwC,Razer,Blade,3.8
EYoDHdD,Razer,Blade,3.5
4xelmTb,HP,Omen,3.6
xKlvS2o,Razer,Blade,3.2
0n36lqW,Razer,Blade,3.5
nhRCsfy,HP,Omen,3.4
RIjNsKz,Razer,Blade,3.5
3zilpP7,Razer,Blade,3.3
IChf0C7,Razer,Blade,3.1
jR8s6Sb,Razer,Blade,3.5
7H3j8ZD,Razer,Blade,3.3
cFZUMOc,Razer,Blade,3.4
0cWNkwv,Razer,Blade,3.6
b1EIBDZ,Alienware,Area-51,3.8
Jf2dQRY,MSI,Raider,3.3
Df6XB2n,Razer,Blade,3.4
pmRsNIZ,Razer,Blade,3.7
l8CElaA,Razer,Blade,3.8
PsEWW6n,Acer,Predator,3.1
4BUDha6,Razer,Blade,3.5
ZdhU4Z1,Razer,Blade,3.2
LG4DbIB,Lenovo,Legion,3.7
7psa7km,Razer,Blade,3.5
dJglzyy,Razer,Blade,3.7
bkdQ5DK,Razer,Blade,3.4
zkGEBiR,Razer,Blade,3.6
DADzOS0,Razer,Blade,3.4
V5kl4iO,Razer,Blade,3.3
xEjv6qt,Asus,ROG,3.0
lBaaiNs,Razer,Blade,3.1
IpIxkT9,Razer,Blade,3.0
kEwPcwp,Asus,ROG,3.7
QiOA3Gl,Asus,ROG,3.7
VybRWXy,Razer,Blade,3.8
3R2qu4f,Razer,Blade,3.0
MrZMXQh,Razer,Blade,3.8
ATiBn8e,Acer,Predator,3.8
wzR1ioK,Razer,Blade,3.1
GXsfnPb,Razer,Blade,3.0
R2s7J1S,Razer,Blade,3.2
uhDCBWX,Razer,Blade,3.1
yqLWyJV,Razer,Blade,3.3
XKZFo9E,Asus,ROG,3.3
fgdie6w,Razer,Blade,3.6
lHKgoZr,Razer,Blade,3.2
nFSb7nl,Razer,Blade,3.2
oXlIRh4,Asus,ROG,3.6
N5qxLHe,Razer,Blade,3.4
vPrD7Ky,Alienware,Area-51,3.2
vbeTuwn,Razer,Blade,3.3
PFPjaEI,Razer,Blade,3.1
FORF1GF,Lenovo,Legion,3.4
82uzUaW,Acer,Predator,3.1
qw4f88s,Alienware,Area-51,3.6
YGE0Gwb,Razer,Blade,3.4
OkIF5jY,Razer,Blade,3.8
bwd9HPd,MSI,Raider,3.6
kg1eThK,Razer,Blade,3.7
tr3isoq,Razer,Blade,3.1
smhEEkw,MSI,Raider,3.1
oBy8YKy,Razer,Blade,3.2
cV0IonU,Razer,Blade,3.0
T3Jlfd8,Razer,Blade,3.8
vQ7vh2E,MSI,Raider,3.2
pRtDPpw,Acer,Predator,3.4
LHiAzrw,Razer,Blade,3.2
fudJBAL,Razer,Blade,3.7
sBUFEk5,Acer,Predator,3.1
d6hOiYl,Razer,Blade,3.8
wj0eBbc,Lenovo,Legion,3.1
j1GQbDH,Asus,ROG,3.6
gHg05Nj,Razer,Blade,3.8
oIb2EGI,Razer,Blade,3.8
pSrlQUL,Razer,Blade,3.6
6HNMaZT,Asus,ROG,3.7
VWRcjrT,Razer,Blade,3.5
iRM4iD0,Alienware,Area-51,3.7
GO0rfn3,Acer,Predator,3.1
esEdL5i,Razer,Blade,3.4
VOZPAbJ,Razer,Blade,3.2
X0BNB1l,Razer,Blade,3.2
uhmmi0S,Razer,Blade,3.8
XWYGxTo,Razer,Blade,3.7
nCK3sZm,Razer,Blade,3.2
p2G2vzr,Razer,Blade,3.4
dl5biky,HP,Omen,3.0
bYCnfqN,Alienware,Area-51,3.8
xqDgq70,MSI,Raider,3.6
XAigM5Z,Razer,Blade,3.7
Mxei6Px,Razer,Blade,3.2
6XYuOok,Alienware,Area-51,3.7
yPd0sJL,Razer,Blade,3.7
EGRr85P,Razer,Blade,3.0
YMnKB1r,Alienware,Area-51,3.3
4ZKjHl1,Razer,Blade,3.4
WJUirWQ,Lenovo,Legion,3.5
VKjg3RH,Acer,Predator,3.3
NEwEemD,Razer,Blade,3.1
4bPvYok,HP,Omen,3.4
oF0rRg8,Lenovo,Legion,3.7
7QYgppw,Asus,ROG,3.6
lS73iKQ,HP,Omen,3.7
oDqwuSV,Asus,ROG,3.8
5Cvi1CS,Alienware,Area-51,3.0
YMi2XrB,Razer,Blade,3.2
h3VEtBZ,Asus,ROG,3.7
VKBmtgF,Acer,Predator,3.4
VPm00FT,Asus,ROG,3.7
JqtZM0V,Razer,Blade,3.6
PdFKHIm,Acer,Predator,3.0
udUeAj4,HP,Omen,3.8
UZYjaCG,Razer,Blade,3.8
YofesK7,HP,Omen,3.4
0jl7YcJ,Alienware,Area-51,3.1
sM8byKG,Razer,Blade,3.6
iQNZz4v,Razer,Blade,3.6
EeB4bQf,Razer,Blade,3.5
ufaNFrn,Acer,Predator,3.4
H12d8f9,Razer,Blade,3.2
iPo6RSJ,Asus,ROG,3.2
5Q79ite,Alienware,Area-51,3.7
goPlONH,Razer,Blade,3.0
h48vgrO,Acer,Predator,3.7
ERPK6Kg,Razer,Blade,3.5
Gqow9cJ,Alienware,Area-51,3.0
iEIAt4k,Razer,Blade,3.3
tmCOB4p,MSI,Raider,3.6
bmFooVn,Asus,ROG,3.0
LlUw4Bw,Razer,Blade,3.1
FyTLACx,HP,Omen,3.7
yLKLoRh,Lenovo,Legion,3.0
nEg19ZF,Razer,Blade,3.8
80ae4D0,Razer,Blade,3.3
zbCYuEh,Acer,Predator,3.7
T8ncNde,Razer,Blade,3.0
7NVcYZc,Razer,Blade,3.3
zgQNr4Z,MSI,Raider,3.2
l92hp87,Lenovo,Legion,3.0
n3VUgGI,Acer,Predator,3.5
upHj8V6,Razer,Blade,3.1
kxAM8Ob,Asus,ROG,3.4
QaqCCTN,Razer,Blade,3.7
3VDOFQq,Razer,Blade,3.0
ePS2NoY,Razer,Blade,3.5
X6XDbC6,Alienware,Area-51,3.7
WDOPew8,Razer,Blade,3.7
rry8Uma,Razer,Blade,3.4
pzaEoC5,Alienware,Area-51,3.2
jFgm9He,Razer,Blade,3.7
KLzYeiC,Razer,Blade,3.8
o2XWV76,Razer,Blade,3.5
wtnJRoR,Razer,Blade,3.1
CtnHVMI,Razer,Blade,3.8
u0bmoH8,Razer,Blade,3.4
CCZu7eZ,Alienware,Area-51,3.6
mi8sqE9,Razer,Blade,3.0
DfpnCo3,Asus,ROG,3.8
FIV6e9k,Acer,Predator,3.6
n16BPBh,Alienware,Area-51,3.8
gph2sIQ,Razer,Blade,3.1
bL1qh53,HP,Omen,3.2
LmM1T2Y,Razer,Blade,3.1
4qmfh8n,Razer,Blade,3.0
ERj3r7t,MSI,Raider,3.1
9tQ8Pum,Razer,Blade,3.7
C9xBkMs,MSI,Raider,3.5
XhtGKMO,Asus,ROG,3.8
AxXu3ze,Lenovo,Legion,3.6
NE7NBBm,Lenovo,Legion,3.4
Db8CKwZ,Razer,Blade,3.6
1jVZfMQ,Razer,Blade,3.2
lRYjGYp,Razer,Blade,3.7
ZFUvIte,Razer,Blade,3.5
GatKBwe,Razer,Blade,3.0
niRe0xV,Lenovo,Legion,3.3
2UQSP5i,Razer,Blade,3.7
9mrApGb,Lenovo,Legion,3.2
hW6bseN,Lenovo,Legion,3.8
hFHHX7N,HP,Omen,3.5
AHHKyLS,Acer,Predator,3.8
atkkkob,Asus,ROG,3.3
ja6RHry,Alienware,Area-51,3.6
zKSP0xB,Razer,Blade,3.4
PyiCyxm,Asus,ROG,3.0
r1Q7Sbf,Acer,Predator,3.0
N1ji6O4,Razer,Blade,3.2
XtNqX04,Asus,ROG,3.8
s9hQq0J,Razer,Blade,3.8
mvwpKWe,Razer,Blade,3.4
8fHHDeH,Razer,Blade,3.7
wnxTi2V,MSI,Raider,3.7
aXePxCg,Razer,Blade,3.0
tiCoAJH,Razer,Blade,3.7
zcfj3Tv,HP,Omen,3.4
VGrIdP3,Razer,Blade,3.2
NhSsivb,MSI,Raider,3.8
7nUhRpn,Razer,Blade,3.8
WsLFgI2,Razer,Blade,3.8
5SWUdFp,Lenovo,Legion,3.7
ppzVULj,Lenovo,Legion,3.7
bm62FtX,Razer,Blade,3.0
L0LRZPc,Razer,Blade,3.4
6Vsf2OW,MSI,Raider,3.1
37inMje,Lenovo,Legion,3.3
6EPtfTa,Asus,ROG,3.0
tmNWMFJ,Lenovo,Legion,3.8
opV25gS,Razer,Blade,3.2
tGgoQhZ,Razer,Blade,3.6
KMb2QdU,HP,Omen,3.2
hl265rK,Razer,Blade,3.4
jiJqIp2,Razer,Blade,3.3
Wi81wOp,Razer,Blade,3.0
iirNHAP,Razer,Blade,3.7
xfKueLi,Razer,Blade,3.6
M5bUqqd,Razer,Blade,3.4
gNKGnu5,Razer,Blade,3.5
BeHjDNU,Alienware,Area-51,3.0
65jPEr9,Razer,Blade,3.4
bxCEu5M,Asus,ROG,3.7
8O8aGzG,Lenovo,Legion,3.6
p6nbDrG,Razer,Blade,3.7
AwkI3RW,Razer,Blade,3.2
M3h2BlI,Razer,Blade,3.0
w2caJsd,MSI,Raider,3.5
CSrRed0,Razer,Blade,3.1
nA606sN,MSI,Raider,3.5
GtWkQNr,Razer,Blade,3.7
f2E2VUP,Alienware,Area-51,3.8
gRCNjtJ,Lenovo,Legion,3.1
WwTPT6R,Acer,Predator,3.3
ym4NDvh,Alienware,Area-51,3.6
oEGkbIm,MSI,Raider,3.2
HMBMuCs,Razer,Blade,3.6
hnFZD44,Razer,Blade,3.2
VIXQ1ga,Razer,Blade,3.6
2nz8ORb,Razer,Blade,3.5
NjwtTpx,Razer,Blade,3.8
Jyv13Xk,Razer,Blade,3.6
rSZwzJJ,Alienware,Area-51,3.3
8h0CBXq,Razer,Blade,3.4
8b1vhvb,Asus,ROG,3.3
H6qQMjx,Razer,Blade,3.4
BAfeWG0,Razer,Blade,3.4
C7EHUPt,Lenovo,Legion,3.8
DWCSDK2,Razer,Blade,3.2
isokyi1,Razer,Blade,3.3
OI8EXdV,Lenovo,Legion,3.4
55GwqO3,Razer,Blade,3.3
KDEm6WD,Razer,Blade,3.8
v0MmGQu,Razer,Blade,3.3
rtPVfCV,Razer,Blade,3.3
klRSbhG,Razer,Blade,3.0
scQTFal,Alienware,Area-51,3.8
qxqk3mT,Razer,Blade,3.4
TizdWuY,Razer,Blade,3.3
D76QEfi,Asus,ROG,3.7
btaEflH,Razer,Blade,3.1
zSO8xFU,Razer,Blade,3.8
MUBHos0,Razer,Blade,3.4
F8Aq9Ed,Razer,Blade,3.0
psla9Ea,Razer,Blade,3.3
sPf04jl,Razer,Blade,3.4
1DuFqvS,Asus,ROG,3.8
pKB26nQ,Razer,Blade,3.5
CZKCp8z,Razer,Blade,3.3
GgU2n09,Razer,Blade,3.6
cznehgZ,Razer,Blade,3.6
I9xEdp6,Razer,Blade,3.5
qAvj4Kr,Razer,Blade,3.4
AFGHElA,Acer,Predator,3.1
x9g0gSB,Razer,Blade,3.3
V2r4lvc,Razer,Blade,3.6
yIq2bgv,Razer,Blade,3.2
HPuLOgk,Razer,Blade,3.6
rzKiLnI,HP,Omen,3.4
dZKjDJg,Razer,Blade,3.5
abqLccK,Asus,ROG,3.1
rUWQtAP,Alienware,Area-51,3.7
p9K0EDL,Alienware,Area-51,3.3
tN9fzvL,Alienware,Area-51,3.3
1l5emPT,Razer,Blade,3.7
GANlrpq,HP,Omen,3.4
2EfOc4x,Razer,Blade,3.8
xvpe6BD,Razer,Blade,3.1
BNAqckX,Razer,Blade,3.6
Iqmhqkx,HP,Omen,3.1
1Ao4tep,Alienware,Area-51,3.5
m9I1QsE,Razer,Blade,3.6
bKIZIIZ,Acer,Predator,3.3
rCpTBDs,HP,Omen,3.0
81l7Szg,MSI,Raider,3.7
HXx4a8B,HP,Omen,3.1
QHWXfXh,Razer,Blade,3.3
JRgd9V4,Razer,Blade,3.3
BBtiEmY,Razer,Blade,3.6
5hRE6Hd,Razer,Blade,3.2
uMXU59M,Razer,Blade,3.1
VcjEZuL,Razer,Blade,3.8
KHRRRZj,Razer,Blade,3.6
yNwoN3j,Razer,Blade,3.3
h0ZQBkY,Razer,Blade,3.3
myPKSoT,Razer,Blade,3.3
ktCH03a,Lenovo,Legion,3.7
YqPeULy,Razer,Blade,3.4
3ehH2uR,Razer,Blade,3.6
Nw2lLRB,MSI,Raider,3.2
9Quxs2B,Razer,Blade,3.4
ZSea7Ts,Razer,Blade,3.6
ZsexTim,Razer,Blade,3.4
GpXUk3n,Alienware,Area-51,3.4
2er5SJg,Razer,Blade,3.3
NYsaK6E,Razer,Blade,3.5
5tw21I3,HP,Omen,3.5
dFRW2E7,Razer,Blade,3.7
vaYvJwA,Razer,Blade,3.3
rjN7MqG,HP,Omen,3.1
JYHucbC,Razer,Blade,3.4
SJuKiIj,Alienware,Area-51,3.4
lwi8FEE,Acer,Predator,3.4
TAz2mb1,Razer,Blade,3.5
HlpXgwO,Asus,ROG,3.3
ePhu5uk,Razer,Blade,3.6
FZ53Xid,MSI,Raider,3.6
iq5JlBs,Razer,Blade,3.5
CVe8Jnb,MSI,Raider,3.2
vfxYa0s,Razer,Blade,3.0
brLmrEq,Acer,Predator,3.0
YtzlDOq,Razer,Blade,3.1
TBSnIa1,Razer,Blade,3.2
rteaW0f,Razer,Blade,3.1
3RqmKEj,MSI,Raider,3.4
M9o9E3d,Alienware,Area-51,3.2
Hp7Mw0w,Razer,Blade,3.3
XPG5xEJ,Alienware,Area-51,3.3
O0jlWqM,Razer,Blade,3.1
L6UwTOg,Razer,Blade,3.0
yL2zuu6,Razer,Blade,3.1
ECY7rkk,Razer,Blade,3.7
F0PdjOv,Acer,Predator,3.7
gLx7N7Q,Lenovo,Legion,3.5
2ZzYSQN,Razer,Blade,3.2
rVAbUkr,Razer,Blade,3.8
FNQAWci,Razer,Blade,3.3
GOjGWJX,Razer,Blade,3.8
ujhleFG,Razer,Blade,3.0
gPAEYwW,HP,Omen,3.8
cstsV6v,Razer,Blade,3.1
krM8rg2,Razer,Blade,3.3
mLW8X4l,Razer,Blade,3.7
bIywbiY,Razer,Blade,3.2
oPdrN6w,Asus,ROG,3.0
UcCB9ss,Asus,ROG,3.5
jzQGfnC,Razer,Blade,3.0
VnnY3wY,Razer,Blade,3.7
XdoxfOT,Razer,Blade,3.0
yLIHPx3,Razer,Blade,3.3
4UL4xZi,Asus,ROG,3.7
Il67dyz,Asus,ROG,3.2
tSRB9JF,Razer,Blade,3.3
D0pOHOl,Razer,Blade,3.4
CpDsa5H,HP,Omen,3.6
plwyMDe,Lenovo,Legion,3.3
KSCCVLb,Acer,Predator,3.0
wiE5Jrc,Razer,Blade,3.1
m1JcGPa,HP,Omen,3.2
0UN9lOJ,Razer,Blade,3.6
6Ps0qO8,Razer,Blade,3.1
KZMrWDl,Razer,Blade,3.8
QnnSNh8,Alienware,Area-51,3.4
kk5DeBn,Razer,Blade,3.6
wRHbrLM,Razer,Blade,3.6
ND9VrrC,Razer,Blade,3.4
KsvYSty,Razer,Blade,3.5
qtHyAtp,Razer,Blade,3.4
DkLSxr7,Acer,Predator,3.4
LWP8bQJ,Razer,Blade,3.7
ahS43fb,Razer,Blade,3.6
CNsytVV,HP,Omen,3.0
NzLhga1,Razer,Blade,3.8
TLqegoi,Razer,Blade,3.1
L6t40os,Razer,Blade,3.4
jnf0Qba,Acer,Predator,3.6
bsZzsn3,Razer,Blade,3.4
kGiUJrv,Lenovo,Legion,3.6
oE99dM4,Razer,Blade,3.3
Ylou69m,Razer,Blade,3.6
zcwTXF3,MSI,Raider,3.3
gzpIAT7,Razer,Blade,3.1
ZQs9J7r,Razer,Blade,3.4
NPtAJlX,MSI,Raider,3.5
q7s48ZC,HP,Omen,3.3
wY6svcj,Asus,ROG,3.7
kYYIZRI,Lenovo,Legion,3.0
3e090jE,Razer,Blade,3.7
CsEcTzt,Alienware,Area-51,3.4
s5vKyW8,Razer,Blade,3.1
ZXfCnTK,Acer,Predator,3.4
9apITkx,Asus,ROG,3.7
eUw3pJK,MSI,Raider,3.0
I64aM5W,HP,Omen,3.8
H9h2HQl,Lenovo,Legion,3.7
1e0tPuh,Razer,Blade,3.2
MqdN3aa,Razer,Blade,3.5
VTty5Tj,Razer,Blade,3.1
XNKKMoT,Acer,Predator,3.2
ImcKG4v,Acer,Predator,3.7
STDgpN6,Razer,Blade,3.5
BsGHG6P,Razer,Blade,3.3
NFbFqBg,Razer,Blade,3.1
3T6wfay,Razer,Blade,3.8
vYp5x8D,Asus,ROG,3.6
gb6JXju,Razer,Blade,3.4
15CQ6oE,Razer,Blade,3.4
aVeOBfZ,MSI,Raider,3.1
fg6yY4i,Razer,Blade,3.2
uMqZnlO,Razer,Blade,3.2
XS4PaZ6,Razer,Blade,3.2
uP8d40J,Razer,Blade,3.4
wsFdJxV,Alienware,Area-51,3.3
7pZ9k8R,Razer,Blade,3.0
o3Haptb,Lenovo,Legion,3.0
lpWj2P4,Razer,Blade,3.6
wFbFzdS,Razer,Blade,3.4
ecPc9Vj,Razer,Blade,3.1
fNPt9Sg,Razer,Blade,3.4
1pjtZwP,Razer,Blade,3.3
uLxebiU,Razer,Blade,3.2
wlPx3RH,Lenovo,Legion,3.4
qpw2HQ2,Razer,Blade,3.3
fl41byD,Razer,Blade,3.5
ebM6CEA,HP,Omen,3.0
VzZrTaI,Razer,Blade,3.7
m2tqSzx,Acer,Predator,3.0
y6NaXVS,Razer,Blade,3.7
EvT4b8O,HP,Omen,3.0
qUWrVkY,Razer,Blade,3.1
UZRiBEz,Acer,Predator,3.3
wxKXrR3,Razer,Blade,3.1
8OeDGym,Razer,Blade,3.8
3toPHuf,Razer,Blade,3.3
aZNXSyD,MSI,Raider,3.4
dMPW981,Razer,Blade,3.5
qdSxrME,Razer,Blade,3.0
dkuZAnQ,Lenovo,Legion,3.1
v9W3KPu,Lenovo,Legion,3.0
GlLnCmV,Razer,Blade,3.6
GGT9RRu,Razer,Blade,3.3
daYYPGo,Razer,Blade,3.7
65ONMa6,Acer,Predator,3.4
eULHm0Q,Acer,Predator,3.4
Nhgk43n,Alienware,Area-51,3.0
mzofjOa,Lenovo,Legion,3.7
mXclv11,Alienware,Area-51,3.5
sRgo6j7,Razer,Blade,3.2
lyHGuq4,Razer,Blade,3.7
X5BLZ4X,Lenovo,Legion,3.2
oR9G4Os,Razer,Blade,3.1
UBD5gRO,Razer,Blade,3.4
